2023/11/15 13:41:46 [error] 13332#2844: *9564 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/template-parts?context=edit&per_page=100&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10002", host: "simplelearn.local", referrer: "https://simplelearn.local/wp-admin/site-editor.php?postId=raft%2F%2Fheader&postType=wp_template_part&canvas=edit"
2023/11/15 13:41:46 [error] 13332#2844: *9564 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/template-parts?context=edit&per_page=100&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10003", host: "simplelearn.local", referrer: "https://simplelearn.local/wp-admin/site-editor.php?postId=raft%2F%2Fheader&postType=wp_template_part&canvas=edit"
2023/11/15 13:41:48 [error] 13332#2844: *9567 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /courses/ HTTP/1.0", upstream: "fastcgi://php", host: "simplelearn.local", referrer: "https://simplelearn.local/courses/"
2023/11/15 13:41:48 [error] 13332#2844: *9568 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.0", upstream: "fastcgi://php", host: "simplelearn.local", referrer: "https://simplelearn.local/courses/"
2023/11/15 13:41:49 [error] 13332#2844: *9569 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /courses/ HTTP/1.0", upstream: "fastcgi://php", host: "simplelearn.local", referrer: "https://simplelearn.local/courses/"
2023/11/15 13:41:49 [error] 13332#2844: *9570 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.0", upstream: "fastcgi://php", host: "simplelearn.local", referrer: "https://simplelearn.local/courses/"
2023/11/15 13:41:50 [error] 13332#2844: *9571 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET / HTTP/1.0", upstream: "fastcgi://php", host: "simplelearn.local", referrer: "https://simplelearn.local/courses/"
2023/11/15 13:41:50 [error] 13332#2844: *9572 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.0", upstream: "fastcgi://php", host: "simplelearn.local", referrer: "https://simplelearn.local/"
2023/11/15 13:41:52 [error] 13332#2844: *9573 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "simplelearn.local", referrer: "https://simplelearn.local/wp-admin/edit.php?post_type=page"
2023/11/15 13:41:55 [error] 13332#2844: *9574 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.0", upstream: "fastcgi://php", host: "simplelearn.local", referrer: "https://simplelearn.local/courses/"
2023/11/18 16:26:20 [alert] 23612#17476: OpenEvent("ngx_master_21876") failed (2: The system cannot find the file specified)
